	Config	Mean time	Mean mem	Mean SMAPE	Mean RMSE	Mean logcosh	Mean gradient calls	Mean iterations
0	('1', 1, Default(no) optimization, Absolute error calculator)	0.030100899999999996	819.2B	0.6130305814314418	10.435913569512357	7.589888957371518	135.85	135.85
1	('10', 1, Default(no) optimization, Absolute error calculator)	0.015199400000000002	0.0B	0.6202042954947456	10.41426191335822	7.578746211735411	509.5	50.95
2	('40', 1, Default(no) optimization, Absolute error calculator)	0.03795305000000001	0.0B	0.6160970597137717	10.38269751746076	7.55535341846552	2000.0	50.0
3	('500', 1, Default(no) optimization, Absolute error calculator)	0.400954	0.0B	0.6137663672336844	10.373231481273514	7.548012356773583	25000.0	50.0
4	('1', 1, Momentum optimization (beta=0.95), Absolute error calculator)	0.00614955	0.0B	0.6036024003964603	10.529500214769563	7.6495770131080025	56.05	56.05
5	('10', 1, Momentum optimization (beta=0.95), Absolute error calculator)	0.0119949	0.0B	0.597799502007348	10.377236919207864	7.54021518462775	526.5	52.65
6	('40', 1, Momentum optimization (beta=0.95), Absolute error calculator)	0.032206849999999995	0.0B	0.6022864755723873	10.361175472743419	7.532830711241978	2000.0	50.0
7	('500', 1, Momentum optimization (beta=0.95), Absolute error calculator)	0.385998	0.0B	0.5972928237915492	10.359429365686914	7.528200720398366	25000.0	50.0
8	('1', 1, Nesterov optimization (beta=0.95), Absolute error calculator)	0.00485015	0.0B	0.6330630638612975	10.584470138596426	7.704902389929069	57.5	57.5
9	('10', 1, Nesterov optimization (beta=0.95), Absolute error calculator)	0.0125529	0.0B	0.5971227533779958	10.374381727253347	7.537632016622891	500.0	50.0
10	('40', 1, Nesterov optimization (beta=0.95), Absolute error calculator)	0.039940550000000005	0.0B	0.6034304454760894	10.365501332476764	7.536186156745545	2000.0	50.0
11	('500', 1, Nesterov optimization (beta=0.95), Absolute error calculator)	0.43	0.0B	0.60287900438064	10.356932308135601	7.530782234488074	25000.0	50.0
12	('1', 1, Ada gradient optimization (eps=1e-05), Absolute error calculator)	0.004045000000000002	0.0B	0.9017343825882358	11.549086502281623	8.508466355308096	50.35	50.35
13	('10', 1, Ada gradient optimization (eps=1e-05), Absolute error calculator)	0.0120014	0.0B	0.9319104074369984	11.66677600915509	8.602847378770976	500.0	50.0
14	('40', 1, Ada gradient optimization (eps=1e-05), Absolute error calculator)	0.033396999999999996	0.0B	0.9350768940528527	11.677387841058017	8.611248536701257	2000.0	50.0
15	('500', 1, Ada gradient optimization (eps=1e-05), Absolute error calculator)	0.42992	0.0B	0.9359183066957322	11.679905822938233	8.6132631564163	25000.0	50.0
16	('1', 1, RMS prop optimization (gamma=0.5, eps=1e-05), Absolute error calculator)	1.0759940499999998	108.75kB	0.6015497795894973	10.519800325503908	7.65723704833862	10000.0	10000.0
17	('10', 1, RMS prop optimization (gamma=0.5, eps=1e-05), Absolute error calculator)	2.7984174	614.4B	0.5960488048992182	10.390777678521847	7.555950037386895	100000.0	10000.0
18	('40', 1, RMS prop optimization (gamma=0.5, eps=1e-05), Absolute error calculator)	7.700639	-42.19kB	0.5967676341109415	10.354971154820296	7.529176985070822	400000.0	10000.0
19	('500', 1, RMS prop optimization (gamma=0.5, eps=1e-05), Absolute error calculator)	0.443981	0.0B	0.5872256997390829	10.343171255239517	7.514519326553431	27000.0	54.0
20	('1', 1, Adam optimization (beta_1=0.9, beta_2=0.999, eps=1e-05), Absolute error calculator)	0.04383535	0.0B	0.6173577784621633	10.513868668955185	7.658958638922205	372.65	372.65
21	('10', 1, Adam optimization (beta_1=0.9, beta_2=0.999, eps=1e-05), Absolute error calculator)	0.02639855	0.0B	0.5961966483601336	10.37025080761948	7.53621458016368	869.0	86.9
22	('40', 1, Adam optimization (beta_1=0.9, beta_2=0.999, eps=1e-05), Absolute error calculator)	0.07469485000000001	0.0B	0.5952017895458256	10.343352033720699	7.520157660450588	4152.0	103.8
23	('500', 1, Adam optimization (beta_1=0.9, beta_2=0.999, eps=1e-05), Absolute error calculator)	0.530021	0.0B	0.5915208491023807	10.335195139917786	7.5118480623372506	33000.0	66.0
24	('1', 1, Default(no) optimization, Squared error calculator)	0.010052700000000001	0.0B	0.6173062769370848	10.511029685127497	7.646848984570285	104.95	104.95
