	Config	Mean time	Mean mem	Mean SMAPE	Mean RMSE	Mean logcosh	Mean gradient calls	Mean iterations
0	('1', 1, Default(no) optimization, Absolute error calculator)	0.1554114	0.0B	0.22825389131883825	9.881798535538211	7.161760556077951	1073.35	1073.35
1	('10', 1, Default(no) optimization, Absolute error calculator)	0.35096454999999993	0.0B	0.23841389114001882	10.280123280822107	7.468055926051484	7996.5	799.65
2	('40', 1, Default(no) optimization, Absolute error calculator)	1.1003951	0.0B	0.23917004778247986	10.302094163084817	7.48497586970026	31500.0	787.5
3	('500', 1, Default(no) optimization, Absolute error calculator)	10.933264	0.0B	0.23948533343749615	10.310703700623339	7.491668191939947	391500.0	783.0
4	('1', 1, Momentum optimization (beta=0.95), Absolute error calculator)	0.13709965000000002	0.0B	0.2343901092479342	10.097073001351724	7.33113147298838	865.45	865.45
5	('10', 1, Momentum optimization (beta=0.95), Absolute error calculator)	0.34862499999999996	0.0B	0.23719442702622762	10.214997019437316	7.418680044151657	8056.5	805.65
6	('40', 1, Momentum optimization (beta=0.95), Absolute error calculator)	1.0738705499999999	0.0B	0.2379326073333156	10.220910018784354	7.422721913652033	31964.0	799.1
7	('500', 1, Momentum optimization (beta=0.95), Absolute error calculator)	10.921886	0.0B	0.23861579262703161	10.253324348445044	7.447562627563618	395500.0	791.0
8	('1', 1, Nesterov optimization (beta=0.95), Absolute error calculator)	0.12879905	0.0B	0.22832896692355426	9.922864718277086	7.193580623426324	862.35	862.35
9	('10', 1, Nesterov optimization (beta=0.95), Absolute error calculator)	0.38322749999999994	0.0B	0.22573234047684448	9.791093920927876	7.085129543701394	8483.0	848.3
10	('40', 1, Nesterov optimization (beta=0.95), Absolute error calculator)	1.2122441000000002	0.0B	0.22520745988969088	9.760923767950834	7.062075851823254	34026.0	850.65
11	('500', 1, Nesterov optimization (beta=0.95), Absolute error calculator)	12.759064	0.0B	0.22501487969186657	9.750829767295702	7.054622001965483	426500.0	853.0
12	('1', 1, Ada gradient optimization (eps=1e-05), Absolute error calculator)	0.005452050000000001	0.0B	0.9754321099135158	38.92867845743409	31.402190740356968	52.25	52.25
13	('10', 1, Ada gradient optimization (eps=1e-05), Absolute error calculator)	0.01889445	0.0B	0.9881479041878354	39.12299488987909	31.56313719255632	500.0	50.0
14	('40', 1, Ada gradient optimization (eps=1e-05), Absolute error calculator)	0.061524899999999993	0.0B	0.9893799905850271	39.13989856464408	31.57713042139294	2000.0	50.0
15	('500', 1, Ada gradient optimization (eps=1e-05), Absolute error calculator)	0.752295	0.0B	0.9897368971868187	39.14425269978718	31.580789972354854	25000.0	50.0
16	('1', 1, RMS prop optimization (gamma=0.5, eps=1e-05), Absolute error calculator)	1.5597740000000002	59.8kB	0.22525586627417016	9.812899389904576	7.1236475740742335	9572.6	9572.6
17	('10', 1, RMS prop optimization (gamma=0.5, eps=1e-05), Absolute error calculator)	4.3031375999999995	0.0B	0.22346484206278028	9.714252460456544	7.044057268900576	97238.0	9723.8
18	('40', 1, RMS prop optimization (gamma=0.5, eps=1e-05), Absolute error calculator)	11.534402850000003	20.28kB	0.22297865125048313	9.67904599399987	7.022001248890253	343724.0	8593.1
19	('500', 1, RMS prop optimization (gamma=0.5, eps=1e-05), Absolute error calculator)	3.808244	0.0B	0.22332848077353423	9.650305335405163	6.998402942381166	134500.0	269.0
20	('1', 1, Adam optimization (beta_1=0.9, beta_2=0.999, eps=1e-05), Absolute error calculator)	0.15372594999999997	0.0B	0.2258733061772585	9.780396099621228	7.095252128270927	966.55	966.55
21	('10', 1, Adam optimization (beta_1=0.9, beta_2=0.999, eps=1e-05), Absolute error calculator)	0.19474255000000001	0.0B	0.22370996130203427	9.695615581674158	7.028776123243088	4488.5	448.85
22	('40', 1, Adam optimization (beta_1=0.9, beta_2=0.999, eps=1e-05), Absolute error calculator)	0.38991735	0.0B	0.2232850643254379	9.660597923144064	7.005670779336718	11720.0	293.0
23	('500', 1, Adam optimization (beta_1=0.9, beta_2=0.999, eps=1e-05), Absolute error calculator)	3.689354	0.0B	0.2234425210050308	9.660902200477114	7.000717734892198	134000.0	268.0
24	('1', 1, Default(no) optimization, Squared error calculator)	0.1708287	0.0B	0.22821395561537025	9.846521927008833	7.142202100576549	1200.2	1200.2
25	('10', 1, Default(no) optimization, Squared error calculator)	0.34854845	0.0B	0.23763458949412203	10.237392770510352	7.435463313053407	8042.5	804.25
26	('40', 1, Default(no) optimization, Squared error calculator)	1.05486485	0.0B	0.23986723116936065	10.333825768458265	7.51299087301806	31378.0	784.45
27	('500', 1, Default(no) optimization, Squared error calculator)	11.081441	0.0B	0.23948277383719566	10.310660971859289	7.491632734021088	391500.0	783.0
28	('1', 1, Momentum optimization (beta=0.95), Squared error calculator)	0.12310945	0.0B	0.2369606002399403	10.202009022143901	7.422570468804866	845.3	845.3
29	('10', 1, Momentum optimization (beta=0.95), Squared error calculator)	0.35138065	0.0B	0.23737708529950918	10.213359932798094	7.415955614904189	8047.5	804.75
30	('40', 1, Momentum optimization (beta=0.95), Squared error calculator)	1.0828629	0.0B	0.23873609433157972	10.256581225293358	7.451055030462524	31702.0	792.55
31	('500', 1, Momentum optimization (beta=0.95), Squared error calculator)	11.603998	0.0B	0.23858871836634576	10.252057261160644	7.446554709978668	396000.0	792.0
32	('1', 1, Nesterov optimization (beta=0.95), Squared error calculator)	0.13458540000000002	0.0B	0.22845637771133004	9.903587941350747	7.178382635387138	882.6	882.6
