	Config	Mean time	Mean mem	Mean SMAPE	Mean RMSE	Mean logcosh	Mean gradient calls	Mean iterations
0	('sgd_1', 1, Default(no) optimization, Squared error calculator)	0.15610359999999998	0.0B	0.3649505878691993	10.023580423372273	7.379379085997071	1119.65	1119.65
1	('sgd_2', 1, Default(no) optimization, Squared error calculator)	0.30920230000000004	0.0B	0.11613586958215823	10.50298283083995	7.5847695191816005	2198.15	2198.15
2	('sgd_3', 1, Default(no) optimization, Squared error calculator)	0.2276296	0.0B	0.11830175626638303	10.276482586395545	7.5383371043404095	1613.15	1613.15
3	('sgd_4', 1, Default(no) optimization, Squared error calculator)	0.28376675	0.0B	0.11069568734407331	10.488655713993506	7.833075938467971	1989.85	1989.85
4	('sgd_5', 1, Default(no) optimization, Squared error calculator)	0.37246085	0.0B	0.12948618831155675	11.073249048953276	8.295977495258848	2565.95	2565.95
5	('sgd_6', 1, Default(no) optimization, Squared error calculator)	0.4426648	0.0B	0.09406217258324907	11.107289695373337	8.080465000186939	2994.3	2994.3
6	('sgd_7', 1, Default(no) optimization, Squared error calculator)	0.39304324999999996	0.0B	0.1843196755482847	22.15268514645029	17.19407704111631	2638.8	2638.8
7	('sgd_8', 1, Default(no) optimization, Squared error calculator)	0.5936835000000001	35.43kB	0.10430523391842042	14.819460605659259	11.152373286488853	3878.4	3878.4
8	('sgd_9', 1, Default(no) optimization, Squared error calculator)	0.39911949999999996	0.0B	0.31167592727223703	59.87784165851425	47.63072493487054	2624.15	2624.15
9	('sgd_10', 1, Default(no) optimization, Squared error calculator)	0.169339	0.0B	0.5084717401153721	80.23590924757022	63.27142142923054	1148.9	1148.9
10	('sgd_11', 1, Default(no) optimization, Squared error calculator)	0.08970320000000001	0.0B	0.7494732605813803	141.80132720122293	114.83761923743154	617.5	617.5
11	('sgd_12', 1, Default(no) optimization, Squared error calculator)	0.017216649999999997	0.0B	0.9127544002819855	143.74827466726887	117.1434593116549	133.7	133.7
12	('sgd_13', 1, Default(no) optimization, Squared error calculator)	0.015343099999999995	0.0B	0.9382520918234034	214.3520263486956	171.67434325025621	122.0	122.0
13	('sgd_14', 1, Default(no) optimization, Squared error calculator)	0.0066631	0.0B	0.9550355585907454	158.73327998541896	126.51412684975844	63.35	63.35
14	('sgd_15', 1, Default(no) optimization, Squared error calculator)	0.00520755	0.0B	0.9672154994620842	213.19747679649362	inf	52.25	52.25
15	('sgd_16', 1, Default(no) optimization, Squared error calculator)	0.00480665	0.0B	0.9661669035911817	202.32295951256512	159.12569370565774	50.25	50.25
16	('sgd_17', 1, Default(no) optimization, Squared error calculator)	0.00474615	0.0B	0.9668451524667201	192.2076337556544	151.02565871045903	50.0	50.0
17	('sgd_18', 1, Default(no) optimization, Squared error calculator)	0.00481	0.0B	0.9767344780896252	267.73367290157495	inf	50.0	50.0
18	('sgd_19', 1, Default(no) optimization, Squared error calculator)	0.004795549999999999	0.0B	0.9726721936141967	236.4453247726446	186.54112796005745	50.0	50.0
19	('sgd_20', 1, Default(no) optimization, Squared error calculator)	0.004832950000000001	0.0B	0.9724485544260171	237.42980312231754	inf	50.0	50.0
